;seed;moves;score;hints;efficiency;hints_w_implicit;avg_explicit_info;avg_implicit_info
189;353.0;74.0;15.0;34.0;0.4411764705882353;0.4117647058823529;0.9244878120918765;0.1484639302948995
190;439.0;74.0;14.0;34.0;0.4117647058823529;0.35294117647058826;0.9287125838887977;0.11190690764697064
191;428.0;72.0;17.0;32.0;0.53125;0.3125;0.9732157981646107;0.13517749458885706
192;39.0;72.0;16.0;32.0;0.5;0.21875;1.0191190046286709;0.09441216559593556
193;2.0;70.0;17.0;30.0;0.5666666666666667;0.36666666666666664;0.9794936683363586;0.17429232712784565
194;196.0;72.0;15.0;32.0;0.46875;0.34375;0.915416889782365;0.15151745537886763
195;197.0;70.0;16.0;30.0;0.5333333333333333;0.43333333333333335;0.9514192007835456;0.16266553960482685
196;495.0;77.0;10.0;37.0;0.2702702702702703;0.24324324324324326;0.8271052795767736;0.08674364904169274
197;30.0;70.0;17.0;30.0;0.5666666666666667;0.43333333333333335;0.9347762436882516;0.18498210254123273
198;374.0;73.0;12.0;33.0;0.36363636363636365;0.2727272727272727;0.8767834544856316;0.09982395670102047
199;476.0;73.0;16.0;33.0;0.48484848484848486;0.36363636363636365;0.8922402736265318;0.12749922645133618
200;231.0;69.0;16.0;29.0;0.5517241379310345;0.41379310344827586;1.0705530795430505;0.156153610190085
201;155.0;74.0;14.0;34.0;0.4117647058823529;0.38235294117647056;0.8043185100110185;0.138003840582521
202;193.0;72.0;17.0;32.0;0.53125;0.40625;0.9589330570704214;0.1584753848867609
203;1.0;78.0;9.0;38.0;0.23684210526315788;0.2894736842105263;0.834411270467349;0.08279284304416414
204;35.0;72.0;15.0;32.0;0.46875;0.3125;0.9397152012423068;0.09309348810235885
205;68.0;74.0;14.0;34.0;0.4117647058823529;0.5;0.889014505009287;0.19624903861964943
206;421.0;71.0;16.0;31.0;0.5161290322580645;0.25806451612903225;0.9773562428708407;0.10404223489438268
207;71.0;72.0;15.0;32.0;0.46875;0.4375;0.9251057045173418;0.15085528978293203
208;36.0;71.0;15.0;31.0;0.4838709677419355;0.3870967741935484;0.9711963910792598;0.14579031783417867
209;481.0;73.0;16.0;33.0;0.48484848484848486;0.3939393939393939;0.9132334776958013;0.13075423524454585
210;116.0;73.0;14.0;33.0;0.42424242424242425;0.36363636363636365;0.9423307040210935;0.13662456092210337
211;403.0;68.0;13.0;28.0;0.4642857142857143;0.32142857142857145;0.8850370270378015;0.12511105130969175
212;87.0;71.0;16.0;31.0;0.5161290322580645;0.25806451612903225;1.0191237953427277;0.0968858236164357
213;367.0;72.0;16.0;32.0;0.5;0.21875;0.9824399034084167;0.09925285184549004
214;12.0;71.0;15.0;31.0;0.4838709677419355;0.25806451612903225;0.9295858714080029;0.0967741935483871
215;200.0;73.0;15.0;33.0;0.45454545454545453;0.24242424242424243;0.9993887485609353;0.08588511204800396
216;129.0;75.0;13.0;35.0;0.37142857142857144;0.34285714285714286;0.9010850367684315;0.11780012105231713
217;355.0;72.0;15.0;32.0;0.46875;0.4375;0.9355625204054653;0.1503648213914783
218;51.0;75.0;13.0;35.0;0.37142857142857144;0.3142857142857143;0.856386712722721;0.07631260802102216
219;460.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.968563239082958;0.1636788042661074
220;470.0;71.0;16.0;31.0;0.5161290322580645;0.3548387096774194;1.0048678854702604;0.1278450758739436
221;372.0;70.0;15.0;30.0;0.5;0.5666666666666667;0.8749785228052936;0.2522742589465373
222;4.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.8688950968947481;0.1342837504290602
223;105.0;73.0;14.0;33.0;0.42424242424242425;0.30303030303030304;0.9400818949420711;0.13149571745163746
224;247.0;71.0;17.0;31.0;0.5483870967741935;0.25806451612903225;0.9609867106790437;0.10300401930175682
225;371.0;74.0;14.0;34.0;0.4117647058823529;0.4117647058823529;0.8774731557673983;0.15208170196640244
226;212.0;71.0;16.0;31.0;0.5161290322580645;0.25806451612903225;1.0554706769232576;0.08167558564218845
227;171.0;70.0;15.0;30.0;0.5;0.5666666666666667;0.7893216951119496;0.2783759414939473
228;424.0;70.0;16.0;30.0;0.5333333333333333;0.26666666666666666;1.0093076764642432;0.0872136621955865
229;109.0;75.0;13.0;35.0;0.37142857142857144;0.4;0.880660782506979;0.16785889323976286
230;41.0;73.0;15.0;33.0;0.45454545454545453;0.30303030303030304;0.9138363796495271;0.10414420594077861
231;410.0;71.0;17.0;31.0;0.5483870967741935;0.1935483870967742;1.032131336967936;0.07235606608665465
232;350.0;70.0;14.0;30.0;0.4666666666666667;0.4;0.8784811446074671;0.16860576217743695
233;373.0;75.0;13.0;35.0;0.37142857142857144;0.2857142857142857;0.8630748644604953;0.08873615934297913
234;86.0;72.0;15.0;32.0;0.46875;0.25;0.8962605981961316;0.11872939217042443
235;60.0;73.0;15.0;33.0;0.45454545454545453;0.3939393939393939;0.8020998007527252;0.14959132552966342
236;33.0;74.0;13.0;34.0;0.38235294117647056;0.38235294117647056;0.7796417957200389;0.16502692809776986
237;20.0;70.0;14.0;30.0;0.4666666666666667;0.4;0.9211900483178961;0.18421130924632814
238;184.0;70.0;15.0;30.0;0.5;0.4666666666666667;0.9673150092715246;0.21103582862433776
239;383.0;69.0;13.0;29.0;0.4482758620689655;0.3448275862068966;0.9881885132884289;0.09104422861023038
240;241.0;71.0;16.0;31.0;0.5161290322580645;0.25806451612903225;1.0360380726922842;0.09558701135781457
241;474.0;74.0;15.0;34.0;0.4411764705882353;0.3235294117647059;0.9137125412974598;0.12312915340280861
242;405.0;72.0;16.0;32.0;0.5;0.34375;0.8656305189286567;0.13984958609195194
243;111.0;72.0;17.0;32.0;0.53125;0.28125;1.0647283301379917;0.08505266674182074
244;144.0;67.0;15.0;27.0;0.5555555555555556;0.48148148148148145;0.8815807527990164;0.2320047432999822
245;387.0;68.0;16.0;28.0;0.5714285714285714;0.35714285714285715;0.9214620220568884;0.12018058473341942
246;366.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.8872008061441763;0.0900011144431078
247;32.0;73.0;14.0;33.0;0.42424242424242425;0.3939393939393939;0.8431209023259236;0.1871268783564466
248;126.0;74.0;13.0;34.0;0.38235294117647056;0.2647058823529412;0.8963694710211442;0.10501918750902706
249;186.0;74.0;13.0;34.0;0.38235294117647056;0.4117647058823529;0.9581954507474865;0.16683727391376713
250;18.0;68.0;11.0;28.0;0.39285714285714285;0.42857142857142855;0.891458301784968;0.16014436853352412
251;217.0;70.0;18.0;30.0;0.6;0.3333333333333333;1.0196005557945773;0.1519921010958931
252;358.0;70.0;16.0;30.0;0.5333333333333333;0.2;1.092905681571229;0.06191108321437562
253;142.0;74.0;13.0;34.0;0.38235294117647056;0.38235294117647056;0.8537371181993151;0.1261713460509184
254;179.0;70.0;18.0;30.0;0.6;0.3;0.9279199874442549;0.10921539347244145
255;326.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.8054232729233749;0.1409478186060044
256;88.0;71.0;13.0;31.0;0.41935483870967744;0.16129032258064516;1.0486093573507198;0.0666757028913101
257;412.0;70.0;11.0;30.0;0.36666666666666664;0.36666666666666664;0.9728598080383244;0.09706816098816234
258;386.0;72.0;15.0;32.0;0.46875;0.34375;0.9869041627154883;0.10563725500178212
259;113.0;72.0;16.0;32.0;0.5;0.34375;0.962905896845898;0.09353626798342797
260;423.0;75.0;13.0;35.0;0.37142857142857144;0.37142857142857144;0.8383370729201148;0.08868088792077342
261;64.0;74.0;14.0;34.0;0.4117647058823529;0.17647058823529413;0.9058438085682682;0.06115238958963602
262;400.0;71.0;17.0;31.0;0.5483870967741935;0.3870967741935484;0.8841294108489582;0.14504438883910972
263;66.0;73.0;15.0;33.0;0.45454545454545453;0.3333333333333333;0.915007257008092;0.14313999501562014
264;377.0;77.0;10.0;37.0;0.2702702702702703;0.32432432432432434;0.843986845293559;0.10344241278523851
265;9.0;70.0;17.0;30.0;0.5666666666666667;0.43333333333333335;0.9287320563996584;0.15534109522170236
266;151.0;73.0;14.0;33.0;0.42424242424242425;0.3939393939393939;0.8727647450151669;0.12911414592868864
267;189.0;74.0;13.0;34.0;0.38235294117647056;0.3235294117647059;0.9719534911220962;0.12536155435232452
268;356.0;70.0;17.0;30.0;0.5666666666666667;0.3333333333333333;0.9117050960883397;0.13103729035307288
